ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice
1,Laptop Pro 14,Electronics,Laptops,TechVista,52000,65999
2,Laptop Air 13,Electronics,Laptops,TechVista,41000,52999
3,Smartphone X5,Electronics,Phones,Pixelo,15500,21999
4,Smartphone Lite,Electronics,Phones,Pixelo,8000,11999
5,Wireless Mouse,Electronics,Accessories,ClickPro,450,799
6,Mechanical Keyboard,Electronics,Accessories,ClickPro,1800,2999
7,27-inch Monitor,Electronics,Displays,OptiView,9500,14999
8,Noise-Cancel Headphones,Electronics,Audio,SonicWave,4200,6999
9,USB-C Docking Station,Electronics,Accessories,ClickPro,3800,5999
10,Office Chair Ergo,Furniture,Chairs,ComfySeat,6500,10999
11,Gaming Chair,Furniture,Chairs,ComfySeat,9000,15499
12,Standing Desk,Furniture,Desks,WorkWell,12000,18999
13,Bookshelf 4-Tier,Furniture,Storage,WoodCraft,3200,5499
14,Filing Cabinet,Furniture,Storage,SteelKraft,2800,4699
15,Meeting Table 6-Seat,Furniture,Tables,WoodCraft,15000,24999
16,Notebook A5 (Pack of 5),Office Supplies,Paper,NoteWell,220,399
17,Gel Pen Pack (12),Office Supplies,Writing,NoteWell,150,299
18,Whiteboard 3x2 ft,Office Supplies,Boards,BoardPro,900,1599
19,A4 Paper Ream,Office Supplies,Paper,NoteWell,260,449
20,Desk Organizer,Office Supplies,Accessories,NoteWell,350,599
21,Stapler Heavy Duty,Office Supplies,Accessories,GripFast,280,499
22,Coffee Maker 12-Cup,Appliances,Kitchen,BrewHaus,2400,3999
23,Microwave 20L,Appliances,Kitchen,BrewHaus,5200,8499
24,Air Fryer 4L,Appliances,Kitchen,BrewHaus,4500,7499
25,Water Purifier UV,Appliances,Home,AquaPure,7800,12499
26,Desk Fan 12-inch,Appliances,Home,WindFlow,1100,1899
